Action Breakdown,Breakdown,Campaign Name,Category,Created at,Confidence,Importance,Level,Metrics,Redirect for edit,Recommendation type,Source,Structure Name,Parent Name,Template
,,Traffic Website June,cpr,2020-06-23T15:13:41,1,3,ad,['CPC'],1,Performance,Facebook,Traffic Website June - Retargeting - slideshow,Traffic Website June - Retargeting,"Your tracking pixel is active, but your ad isn't optimised for off-site conversions. You may get better results if you choose off-site conversions as your optimisation goal."
,,Traffic Website June,cpr,2020-06-23T15:13:42,1,3,ad,['CPC'],1,Performance,Facebook,Traffic Website June - Retargeting - Video,Traffic Website June - Retargeting,"Your tracking pixel is active, but your ad isn't optimised for off-site conversions. You may get better results if you choose off-site conversions as your optimisation goal."
,,Traffic Website June,cpr,2020-06-23T15:13:43,1,3,ad,['CPC'],1,Performance,Facebook,Traffic Website June - Retargeting - Carousel,Traffic Website June - Retargeting,"Your tracking pixel is active, but your ad isn't optimised for off-site conversions. You may get better results if you choose off-site conversions as your optimisation goal."
,,Traffic Website June,cpr,2020-06-23T15:13:43,1,3,ad,['CPC'],1,Performance,Facebook,Traffic Website June - Beer - Carousel,Traffic Website June - Beer,"Your tracking pixel is active, but your ad isn't optimised for off-site conversions. You may get better results if you choose off-site conversions as your optimisation goal."
,,Traffic Website June,cpr,2020-06-23T15:13:44,1,3,ad,['CPC'],1,Performance,Facebook,Traffic Website June - Beer - Video,Traffic Website June - Beer,"Your tracking pixel is active, but your ad isn't optimised for off-site conversions. You may get better results if you choose off-site conversions as your optimisation goal."
,,Traffic Website June,cpr,2020-06-23T15:13:45,1,3,ad,['CPC'],1,Performance,Facebook,Traffic Website June - Beer - Video,Traffic Website June - Beer,"Your tracking pixel is active, but your ad isn't optimised for off-site conversions. You may get better results if you choose off-site conversions as your optimisation goal."
,,Traffic Website June,cpr,2020-06-23T15:13:45,1,3,ad,['CPC'],1,Performance,Facebook,Traffic Website June - General - slideshow,Traffic Website June - General,"Your tracking pixel is active, but your ad isn't optimised for off-site conversions. You may get better results if you choose off-site conversions as your optimisation goal."
,,Traffic Website June,cpr,2020-06-23T15:13:46,1,3,ad,['CPC'],1,Performance,Facebook,Traffic Website June - General - Video,Traffic Website June - General,"Your tracking pixel is active, but your ad isn't optimised for off-site conversions. You may get better results if you choose off-site conversions as your optimisation goal."
,,Traffic Website June,cpr,2020-06-23T15:13:47,1,3,ad,['CPC'],1,Performance,Facebook,Traffic Website June - General - Carousel,Traffic Website June - General,"Your tracking pixel is active, but your ad isn't optimised for off-site conversions. You may get better results if you choose off-site conversions as your optimisation goal."
,,FILED Campaign - Prospecting,cpr,2020-06-23T15:13:59,1,3,ad,['CPC'],1,Performance,Facebook,New beer in stock,Cold audiences,"Your tracking pixel is active, but your ad isn't optimised for off-site conversions. You may get better results if you choose off-site conversions as your optimisation goal."
,,FILED Campaign - Prospecting,cpr,2020-06-23T15:14:00,1,3,ad,['CPC'],1,Performance,Facebook,Maverick and Gose,Cold audiences,"Your tracking pixel is active, but your ad isn't optimised for off-site conversions. You may get better results if you choose off-site conversions as your optimisation goal."
,,FILED Campaign - Prospecting,cpr,2020-06-23T15:14:00,1,3,ad,['CPC'],1,Performance,Facebook,Social Distance Date Night,Cold audiences,"Your tracking pixel is active, but your ad isn't optimised for off-site conversions. You may get better results if you choose off-site conversions as your optimisation goal."
,,FILED Campaign - Prospecting,cpr,2020-06-23T15:14:01,1,3,ad,['CPC'],1,Performance,Facebook,Social Distance Date Night,Retargeting,"Your tracking pixel is active, but your ad isn't optimised for off-site conversions. You may get better results if you choose off-site conversions as your optimisation goal."
,,FILED Campaign - Prospecting,cpr,2020-06-23T15:14:02,1,3,ad,['CPC'],1,Performance,Facebook,New beer in stock,Retargeting,"Your tracking pixel is active, but your ad isn't optimised for off-site conversions. You may get better results if you choose off-site conversions as your optimisation goal."
,,FILED Campaign - Prospecting,cpr,2020-06-23T15:14:02,1,3,ad,['CPC'],1,Performance,Facebook,Maverick and Gose,Retargeting,"Your tracking pixel is active, but your ad isn't optimised for off-site conversions. You may get better results if you choose off-site conversions as your optimisation goal."
,,FILED Campaign - Prospecting,cpr,2020-06-23T15:14:03,1,3,ad,['CPC'],1,Performance,Facebook,New beer in stock,Look a Like,"Your tracking pixel is active, but your ad isn't optimised for off-site conversions. You may get better results if you choose off-site conversions as your optimisation goal."
,,FILED Campaign - Prospecting,cpr,2020-06-23T15:14:04,1,3,ad,['CPC'],1,Performance,Facebook,Maverick and Gose,Look a Like,"Your tracking pixel is active, but your ad isn't optimised for off-site conversions. You may get better results if you choose off-site conversions as your optimisation goal."
,,FILED Campaign - Prospecting,cpr,2020-06-23T15:14:04,1,3,ad,['CPC'],1,Performance,Facebook,Social Distance Date Night,Look a Like,"Your tracking pixel is active, but your ad isn't optimised for off-site conversions. You may get better results if you choose off-site conversions as your optimisation goal."
,,Traffic Website June,cpr,2020-06-23T15:14:19,1,3,ad,['CPC'],1,Performance,Facebook,Traffic Website June - Retargeting - slideshow,Traffic Website June - Retargeting,"Your tracking pixel is active, but your ad isn't optimised for off-site conversions. You may get better results if you choose off-site conversions as your optimisation goal."
,,Traffic Website June,cpr,2020-06-23T15:14:20,1,3,ad,['CPC'],1,Performance,Facebook,Traffic Website June - Retargeting - Video,Traffic Website June - Retargeting,"Your tracking pixel is active, but your ad isn't optimised for off-site conversions. You may get better results if you choose off-site conversions as your optimisation goal."
,,Traffic Website June,cpr,2020-06-23T15:14:20,1,3,ad,['CPC'],1,Performance,Facebook,Traffic Website June - Retargeting - Carousel,Traffic Website June - Retargeting,"Your tracking pixel is active, but your ad isn't optimised for off-site conversions. You may get better results if you choose off-site conversions as your optimisation goal."
,,Traffic Website June,cpr,2020-06-23T15:14:24,1,3,ad,['CPC'],1,Performance,Facebook,Traffic Website June - General - Carousel,Traffic Website June - General,"Your tracking pixel is active, but your ad isn't optimised for off-site conversions. You may get better results if you choose off-site conversions as your optimisation goal."
,,FILED Campaign - Prospecting,cpr,2020-06-23T15:14:38,1,3,ad,['CPC'],1,Performance,Facebook,Social Distance Date Night,Retargeting,"Your tracking pixel is active, but your ad isn't optimised for off-site conversions. You may get better results if you choose off-site conversions as your optimisation goal."
,,FILED Campaign - Prospecting,cpr,2020-06-23T15:14:39,1,3,ad,['CPC'],1,Performance,Facebook,New beer in stock,Retargeting,"Your tracking pixel is active, but your ad isn't optimised for off-site conversions. You may get better results if you choose off-site conversions as your optimisation goal."
,,FILED Campaign - Prospecting,cpr,2020-06-23T15:14:39,1,3,ad,['CPC'],1,Performance,Facebook,Maverick and Gose,Retargeting,"Your tracking pixel is active, but your ad isn't optimised for off-site conversions. You may get better results if you choose off-site conversions as your optimisation goal."
,,FILED Campaign - Prospecting,cpr,2020-06-23T15:14:40,1,3,ad,['CPC'],1,Performance,Facebook,New beer in stock,Look a Like,"Your tracking pixel is active, but your ad isn't optimised for off-site conversions. You may get better results if you choose off-site conversions as your optimisation goal."
,,FILED Campaign - Prospecting,cpr,2020-06-23T15:14:41,1,3,ad,['CPC'],1,Performance,Facebook,Maverick and Gose,Look a Like,"Your tracking pixel is active, but your ad isn't optimised for off-site conversions. You may get better results if you choose off-site conversions as your optimisation goal."
,,FILED Campaign - Prospecting,cpr,2020-06-23T15:14:41,1,3,ad,['CPC'],1,Performance,Facebook,Social Distance Date Night,Look a Like,"Your tracking pixel is active, but your ad isn't optimised for off-site conversions. You may get better results if you choose off-site conversions as your optimisation goal."
,,Traffic Website June,cpr,2020-06-23T15:14:57,1,3,ad,['CPC'],1,Performance,Facebook,Traffic Website June - Retargeting - slideshow,Traffic Website June - Retargeting,"Your tracking pixel is active, but your ad isn't optimised for off-site conversions. You may get better results if you choose off-site conversions as your optimisation goal."
,,Traffic Website June,cpr,2020-06-23T15:14:58,1,3,ad,['CPC'],1,Performance,Facebook,Traffic Website June - Retargeting - Video,Traffic Website June - Retargeting,"Your tracking pixel is active, but your ad isn't optimised for off-site conversions. You may get better results if you choose off-site conversions as your optimisation goal."
,,Traffic Website June,cpr,2020-06-23T15:14:58,1,3,ad,['CPC'],1,Performance,Facebook,Traffic Website June - Retargeting - Carousel,Traffic Website June - Retargeting,"Your tracking pixel is active, but your ad isn't optimised for off-site conversions. You may get better results if you choose off-site conversions as your optimisation goal."
,,Traffic Website June,cpr,2020-06-23T15:14:59,1,3,ad,['CPC'],1,Performance,Facebook,Traffic Website June - Beer - Carousel,Traffic Website June - Beer,"Your tracking pixel is active, but your ad isn't optimised for off-site conversions. You may get better results if you choose off-site conversions as your optimisation goal."
,,Traffic Website June,cpr,2020-06-23T15:15:00,1,3,ad,['CPC'],1,Performance,Facebook,Traffic Website June - Beer - Video,Traffic Website June - Beer,"Your tracking pixel is active, but your ad isn't optimised for off-site conversions. You may get better results if you choose off-site conversions as your optimisation goal."
,,Traffic Website June,cpr,2020-06-23T15:15:00,1,3,ad,['CPC'],1,Performance,Facebook,Traffic Website June - Beer - Video,Traffic Website June - Beer,"Your tracking pixel is active, but your ad isn't optimised for off-site conversions. You may get better results if you choose off-site conversions as your optimisation goal."
,,Traffic Website June,cpr,2020-06-23T15:15:01,1,3,ad,['CPC'],1,Performance,Facebook,Traffic Website June - General - slideshow,Traffic Website June - General,"Your tracking pixel is active, but your ad isn't optimised for off-site conversions. You may get better results if you choose off-site conversions as your optimisation goal."
,,Traffic Website June,cpr,2020-06-23T15:15:02,1,3,ad,['CPC'],1,Performance,Facebook,Traffic Website June - General - Video,Traffic Website June - General,"Your tracking pixel is active, but your ad isn't optimised for off-site conversions. You may get better results if you choose off-site conversions as your optimisation goal."
,,Traffic Website June,cpr,2020-06-23T15:15:02,1,3,ad,['CPC'],1,Performance,Facebook,Traffic Website June - General - Carousel,Traffic Website June - General,"Your tracking pixel is active, but your ad isn't optimised for off-site conversions. You may get better results if you choose off-site conversions as your optimisation goal."
,,FILED Campaign - Prospecting,cpr,2020-06-23T15:15:15,1,3,ad,['CPC'],1,Performance,Facebook,New beer in stock,Cold audiences,"Your tracking pixel is active, but your ad isn't optimised for off-site conversions. You may get better results if you choose off-site conversions as your optimisation goal."
,,FILED Campaign - Prospecting,cpr,2020-06-23T15:15:16,1,3,ad,['CPC'],1,Performance,Facebook,Maverick and Gose,Cold audiences,"Your tracking pixel is active, but your ad isn't optimised for off-site conversions. You may get better results if you choose off-site conversions as your optimisation goal."
,,FILED Campaign - Prospecting,cpr,2020-06-23T15:15:16,1,3,ad,['CPC'],1,Performance,Facebook,Social Distance Date Night,Cold audiences,"Your tracking pixel is active, but your ad isn't optimised for off-site conversions. You may get better results if you choose off-site conversions as your optimisation goal."
,,FILED Campaign - Prospecting,cpr,2020-06-23T15:15:17,1,3,ad,['CPC'],1,Performance,Facebook,Social Distance Date Night,Retargeting,"Your tracking pixel is active, but your ad isn't optimised for off-site conversions. You may get better results if you choose off-site conversions as your optimisation goal."
,,FILED Campaign - Prospecting,cpr,2020-06-23T15:15:18,1,3,ad,['CPC'],1,Performance,Facebook,New beer in stock,Retargeting,"Your tracking pixel is active, but your ad isn't optimised for off-site conversions. You may get better results if you choose off-site conversions as your optimisation goal."
,,FILED Campaign - Prospecting,cpr,2020-06-23T15:15:18,1,3,ad,['CPC'],1,Performance,Facebook,Maverick and Gose,Retargeting,"Your tracking pixel is active, but your ad isn't optimised for off-site conversions. You may get better results if you choose off-site conversions as your optimisation goal."
,,FILED Campaign - Prospecting,cpr,2020-06-23T15:15:19,1,3,ad,['CPC'],1,Performance,Facebook,New beer in stock,Look a Like,"Your tracking pixel is active, but your ad isn't optimised for off-site conversions. You may get better results if you choose off-site conversions as your optimisation goal."
,,FILED Campaign - Prospecting,cpr,2020-06-23T15:15:19,1,3,ad,['CPC'],1,Performance,Facebook,Maverick and Gose,Look a Like,"Your tracking pixel is active, but your ad isn't optimised for off-site conversions. You may get better results if you choose off-site conversions as your optimisation goal."
,,FILED Campaign - Prospecting,cpr,2020-06-23T15:15:20,1,3,ad,['CPC'],1,Performance,Facebook,Social Distance Date Night,Look a Like,"Your tracking pixel is active, but your ad isn't optimised for off-site conversions. You may get better results if you choose off-site conversions as your optimisation goal."
,,Traffic Website June,cpr,2020-06-23T15:15:36,1,3,ad,['CPC'],1,Performance,Facebook,Traffic Website June - Retargeting - slideshow,Traffic Website June - Retargeting,"Your tracking pixel is active, but your ad isn't optimised for off-site conversions. You may get better results if you choose off-site conversions as your optimisation goal."
,,Traffic Website June,cpr,2020-06-23T15:15:37,1,3,ad,['CPC'],1,Performance,Facebook,Traffic Website June - Retargeting - Video,Traffic Website June - Retargeting,"Your tracking pixel is active, but your ad isn't optimised for off-site conversions. You may get better results if you choose off-site conversions as your optimisation goal."
,,Traffic Website June,cpr,2020-06-23T15:15:37,1,3,ad,['CPC'],1,Performance,Facebook,Traffic Website June - Retargeting - Carousel,Traffic Website June - Retargeting,"Your tracking pixel is active, but your ad isn't optimised for off-site conversions. You may get better results if you choose off-site conversions as your optimisation goal."
